permno,indno,mbrstartdt,mbrenddt,mbrflg,indfam
12941,1000500,1957-03-01,1967-05-17,NORM,1100500
12976,1000500,1957-03-01,1986-07-16,NORM,1100500
12981,1000500,2016-06-24,2022-12-16,NORM,1100500
13004,1000500,1957-03-01,1961-02-08,NORM,1100500
13012,1000500,1957-03-01,1971-12-08,NORM,1100500
13035,1000500,2011-11-01,2025-10-31,NORM,1100500
13056,1000500,1989-10-05,2004-04-30,NORM,1100500
13063,1000500,1957-03-01,1976-06-30,NORM,1100500
13100,1000500,1944-06-07,2005-08-29,NORM,1100500
13103,1000500,2012-12-24,2025-10-31,NORM,1100500
13119,1000500,1960-12-14,2006-03-31,NORM,1100500
13135,1000500,1957-03-01,1964-01-15,NORM,1100500
13141,1000500,2012-01-03,2014-03-21,NORM,1100500
13142,1000500,2013-11-13,2020-05-11,NORM,1100500
13143,1000500,1933-03-28,1957-03-01,NORM,1100500
13143,1000500,1961-10-25,1980-06-16,NORM,1100500
13151,1000500,1957-03-01,1960-06-22,NORM,1100500
13168,1000500,2011-12-21,2019-12-20,NORM,1100500
13207,1000500,1945-03-01,1953-06-22,NORM,1100500
13207,1000500,1957-03-01,1958-06-04,NORM,1100500
13210,1000500,2021-12-14,2025-10-31,NORM,1100500
13274,1000500,1957-03-01,1964-01-22,NORM,1100500
13290,1000500,1957-03-01,1979-05-02,NORM,1100500
13303,1000500,1957-03-01,1994-01-03,NORM,1100500
13311,1000500,1925-12-31,1974-05-08,NORM,1100500
13311,1000500,1977-11-03,1981-07-02,NORM,1100500
13323,1000500,2021-01-07,2025-09-19,NORM,1100500
13354,1000500,1957-03-01,1993-09-30,NORM,1100500
13356,1000500,2012-05-01,2025-10-31,NORM,1100500
13362,1000500,1925-12-31,1944-06-07,NORM,1100500
13370,1000500,1957-03-01,1958-12-10,NORM,1100500
13370,1000500,1959-02-25,1970-04-22,NORM,1100500
13389,1000500,1957-03-01,1958-04-23,NORM,1100500
13407,1000500,2013-12-23,2025-10-31,NORM,1100500
13434,1000500,1925-12-31,1968-01-31,NORM,1100500
13442,1000500,1925-12-31,1964-10-21,NORM,1100500
13447,1000500,2019-11-21,2025-10-31,NORM,1100500
13511,1000500,2023-06-20,2025-10-31,NORM,1100500
13522,1000500,1925-12-31,1945-02-28,NORM,1100500
13522,1000500,1958-06-04,1982-06-02,NORM,1100500
13549,1000500,1925-12-31,1947-07-16,NORM,1100500
13565,1000500,1925-12-31,1941-08-20,NORM,1100500
13565,1000500,1957-03-01,1961-08-16,NORM,1100500
13567,1000500,2012-10-01,2016-05-02,NORM,1100500
13573,1000500,1925-12-31,1970-03-04,NORM,1100500
13586,1000500,2012-10-01,2025-10-31,NORM,1100500
13598,1000500,2012-10-02,2015-07-02,NORM,1100500
13610,1000500,1957-03-01,1975-02-05,NORM,1100500
13628,1000500,2024-12-23,2025-10-31,NORM,1100500
13637,1000500,1957-03-01,1976-01-14,NORM,1100500
13641,1000500,2018-12-03,2025-10-31,NORM,1100500
13661,1000500,1957-03-01,1987-03-25,NORM,1100500
13688,1000500,1925-12-31,2019-01-17,NORM,1100500
13688,1000500,2022-10-03,2025-10-31,NORM,1100500
13696,1000500,1925-12-31,1944-06-07,NORM,1100500
13696,1000500,1957-03-01,1962-10-17,NORM,1100500
13721,1000500,2013-01-02,2025-10-31,NORM,1100500
13760,1000500,2017-10-13,2025-10-31,NORM,1100500
13788,1000500,2013-06-24,2025-10-31,NORM,1100500
13792,1000500,1925-12-31,1972-09-27,NORM,1100500
13805,1000500,1957-03-01,1965-06-16,NORM,1100500
13821,1000500,1925-12-31,1930-01-04,NORM,1100500
13821,1000500,1940-04-15,2007-02-21,NORM,1100500
13856,1000500,1957-03-01,2025-10-31,NORM,1100500
13864,1000500,1941-08-20,1944-06-07,NORM,1100500
13901,1000500,1957-03-01,2025-10-31,NORM,1100500
13911,1000500,2017-08-29,2025-10-31,NORM,1100500
13928,1000500,1957-03-01,2025-10-31,NORM,1100500
13936,1000500,2013-02-14,2022-09-16,NORM,1100500
13949,1000500,2019-09-23,2025-10-31,NORM,1100500
13963,1000500,2013-07-01,2025-10-31,NORM,1100500
